"name","folder","styleUrl","geometryType","coordinates"
"ZONA SIN ENTREGAS CALLAO","Capa sin tÃ­tulo","#poly-A52714-1200-77","Polygon","-77.1233623,-12.0728603,0 -77.1201437,-12.0665233,0 -77.1185558,-12.0636696,0 -77.1148651,-12.0585075,0 -77.1149724,-12.0558215,0 -77.1150877,-12.0535185,0 -77.1178853,-12.0537126,0 -77.1181374,-12.0502187,0 -77.1259264,-12.0507013,0 -77.1273105,-12.0361795,0 -77.1415584,-12.0318983,0 -77.1464508,-12.0303873,0 -77.1485965,-12.0300515,0 -77.1511715,-12.0305971,0 -77.1514289,-12.0313946,0 -77.1502273,-12.0331994,0 -77.147352,-12.0373547,0 -77.1466653,-12.0387397,0 -77.14585,-12.044154,0 -77.1533815,-12.0537441,0 -77.1491959,-12.0580864,0 -77.1551599,-12.0642125,0 -77.1581506,-12.0668328,0 -77.1573336,-12.0678879,0 -77.154551,-12.0664972,0 -77.1515148,-12.0670269,0 -77.1373743,-12.068517,0 -77.1237485,-12.0735317,0 -77.1233623,-12.0728603,0"
"LA PUNTAÂ ","Capa sin tÃ­tulo","#poly-097138-1200-77","Polygon","-77.1582364,-12.0668328,0 -77.1583367,-12.0664662,0 -77.1606542,-12.0686065,0 -77.1662332,-12.0706209,0 -77.1690227,-12.0709986,0 -77.1709109,-12.0725094,0 -77.1696235,-12.0744818,0 -77.1667052,-12.074272,0 -77.163787,-12.0751113,0 -77.1610404,-12.0734746,0 -77.1587659,-12.0700334,0 -77.1572746,-12.06804,0 -77.1574194,-12.0678879,0 -77.1582364,-12.0668328,0"
"ZONA SIN ENTREGAS CALLAO","Capa sin tÃ­tulo","#poly-A52714-1200-77","Polygon","-77.1268795,-12.0383328,0 -77.1257851,-12.0504204,0 -77.1154425,-12.0498223,0 -77.1157644,-12.0464542,0 -77.1161936,-12.0404524,0 -77.120528,-12.0398648,0 -77.1268795,-12.0383328,0"
"BELLAVISTA - CALLAO","Capa sin tÃ­tulo","#poly-097138-3601-77","Polygon","-77.1184591,-12.0653144,0 -77.1025268,-12.063216,0 -77.0927099,-12.062041,0 -77.0874742,-12.0614639,0 -77.0884506,-12.0588199,0 -77.0876566,-12.0516118,0 -77.1047905,-12.0551162,0 -77.1146611,-12.0571307,0 -77.1151356,-12.0592632,0 -77.1184591,-12.0653144,0"
"CALLAO","Capa sin tÃ­tulo","#poly-097138-3601-77","Polygon","-77.1161936,-12.0404524,0 -77.1152161,-12.0500316,0 -77.1182232,-12.0502187,0 -77.1179711,-12.0537126,0 -77.1151021,-12.0534194,0 -77.1150498,-12.0564933,0 -77.0780193,-12.0497588,0 -77.0770859,-12.0475029,0 -77.0770107,-12.046716,0 -77.0980071,-12.0482584,0 -77.0986079,-12.0394445,0 -77.1022128,-12.0408715,0 -77.1086501,-12.0419628,0 -77.1161936,-12.0404524,0"
"CARMEN DE LA LEGUA - CALLAO","Capa sin tÃ­tulo","#poly-097138-2801-77","Polygon","-77.0980071,-12.0482584,0 -77.0815891,-12.0469993,0 -77.0817393,-12.0449847,0 -77.0826191,-12.0449847,0 -77.083177,-12.0393186,0 -77.0824903,-12.0389409,0 -77.0827907,-12.0371781,0 -77.0856661,-12.0375138,0 -77.0986265,-12.0400321,0 -77.0980071,-12.0482584,0"
"ZONA SIN ENTREGAS","Capa sin tÃ­tulo","#poly-E65100-1200-77","Polygon","-77.1262259,-11.9942,0 -77.1330496,-11.9931925,0 -77.1328569,-11.9895245,0 -77.1339617,-11.9875909,0 -77.1354527,-11.9858672,0 -77.1393151,-12.0057648,0 -77.1493573,-12.0293547,0 -77.1265263,-12.0369097,0 -77.1291012,-12.020876,0 -77.1277709,-12.0133205,0 -77.1266551,-12.0079056,0 -77.1262259,-11.9942,0"
"ZONA SIN ENTREGAS CALLAO","Capa sin tÃ­tulo","#poly-E65100-1200-77","Unknown",""
"ZONA DE ENTREGAS CALLAO","Capa sin tÃ­tulo","#poly-097138-1200-77","Polygon","-77.1259045,-11.9889578,0 -77.1327118,-11.9895587,0 -77.1330496,-11.9931925,0 -77.1262259,-11.9942,0 -77.1259045,-11.9889578,0"
"ZONA SIN ENTREGAS","Capa sin tÃ­tulo","#poly-E65100-1200-77","Polygon","-77.1209493,-11.9797126,0 -77.1148413,-11.9794038,0 -77.1143045,-11.9817388,0 -77.1155631,-11.9844761,0 -77.1158206,-11.9857303,0 -77.1153968,-11.9864491,0 -77.112323,-11.9820413,0 -77.112559,-11.9792286,0 -77.1124062,-11.9791027,0 -77.1115629,-11.9777398,0 -77.1145167,-11.976528,0 -77.118658,-11.9725607,0 -77.1175422,-11.9704407,0 -77.116877,-11.9665993,0 -77.1188082,-11.9652558,0 -77.1184005,-11.9585385,0 -77.1178426,-11.9566702,0 -77.1199669,-11.9541301,0 -77.1204819,-11.9509183,0 -77.1208681,-11.9498476,0 -77.1228851,-11.9484831,0 -77.1240653,-11.945985,0 -77.1271552,-11.9429829,0 -77.1279062,-11.9410306,0 -77.1271767,-11.939792,0 -77.1249665,-11.9394981,0 -77.1268977,-11.9392041,0 -77.12855,-11.9375876,0 -77.1299662,-11.9369578,0 -77.1306099,-11.9371258,0 -77.131318,-11.945796,0 -77.1314897,-11.9483781,0 -77.1303095,-11.9527656,0 -77.1248593,-11.9725607,0 -77.1247734,-11.9754785,0 -77.1248378,-11.9797605,0 -77.123722,-11.9796241,0 -77.1209493,-11.9797126,0"
